title,category,policy_impact_score
EU AI Act enforces strict compliance for generative foundational models,Foundational Regulation,94.87724822453477
US Executive order mandates deepfake watermarking and verification protocols,Consumer Safety,84.19969454449836
Global trade delegates draft restrictions regarding automated model verification,International Trade,69.03799747282827
State department establishes ethical framework for defense drone swarms,Defense & Ethics,86.54233805948849
Copyright registry updates terms regarding synthetic training data ingestion,Intellectual Property,64.6429128949436
Healthcare board approves automated diagnostic pipeline auditing criteria,Healthcare Compliance,78.21387023991672
Financial safety committee restricts autonomous high-frequency trading networks,Financial Policy,90.30562415682004
Privacy commissioner bans biometric surveillance processing in public spaces,Privacy & Surveillance,83.72896428381877
EU AI Act enforces strict compliance for generative foundational models,Foundational Regulation,94.93959041997107
US Executive order mandates deepfake watermarking and verification protocols,Consumer Safety,80.93301124847984
Global trade delegates draft restrictions regarding automated model verification,International Trade,70.90652962738561
State department establishes ethical framework for defense drone swarms,Defense & Ethics,88.09648868693071
Copyright registry updates terms regarding synthetic training data ingestion,Intellectual Property,64.53031386698773
Healthcare board approves automated diagnostic pipeline auditing criteria,Healthcare Compliance,79.30358943643581
Financial safety committee restricts autonomous high-frequency trading networks,Financial Policy,90.09545201602461
Privacy commissioner bans biometric surveillance processing in public spaces,Privacy & Surveillance,85.84906348915897
EU AI Act enforces strict compliance for generative foundational models,Foundational Regulation,95.50106611215645
US Executive order mandates deepfake watermarking and verification protocols,Consumer Safety,80.77913806937751
Global trade delegates draft restrictions regarding automated model verification,International Trade,68.93575530111285
State department establishes ethical framework for defense drone swarms,Defense & Ethics,88.08448103027055
Copyright registry updates terms regarding synthetic training data ingestion,Intellectual Property,65.29035099248858
Healthcare board approves automated diagnostic pipeline auditing criteria,Healthcare Compliance,78.13467206978278
Financial safety committee restricts autonomous high-frequency trading networks,Financial Policy,89.6908033399288
Privacy commissioner bans biometric surveillance processing in public spaces,Privacy & Surveillance,86.00236253527784
EU AI Act enforces strict compliance for generative foundational models,Foundational Regulation,96.11066320968894
US Executive order mandates deepfake watermarking and verification protocols,Consumer Safety,83.8090048958243
Global trade delegates draft restrictions regarding automated model verification,International Trade,69.76472379599974
State department establishes ethical framework for defense drone swarms,Defense & Ethics,89.64317574616048
Copyright registry updates terms regarding synthetic training data ingestion,Intellectual Property,66.23612090292251
Healthcare board approves automated diagnostic pipeline auditing criteria,Healthcare Compliance,78.39865754145536
Financial safety committee restricts autonomous high-frequency trading networks,Financial Policy,92.3383957507
Privacy commissioner bans biometric surveillance processing in public spaces,Privacy & Surveillance,83.17761559403753
EU AI Act enforces strict compliance for generative foundational models,Foundational Regulation,96.05167641810763
US Executive order mandates deepfake watermarking and verification protocols,Consumer Safety,81.49079048038313
Global trade delegates draft restrictions regarding automated model verification,International Trade,70.82083237941919
State department establishes ethical framework for defense drone swarms,Defense & Ethics,86.52128901391015
Copyright registry updates terms regarding synthetic training data ingestion,Intellectual Property,66.76990238852626
Healthcare board approves automated diagnostic pipeline auditing criteria,Healthcare Compliance,78.15410593605495
Financial safety committee restricts autonomous high-frequency trading networks,Financial Policy,90.6923597390935
Privacy commissioner bans biometric surveillance processing in public spaces,Privacy & Surveillance,84.84635430480972
